code,name,unit_type,parent_code,contact_email,contact_phone,address
DEPARTMENT-GURMAT-GYAN-ONLIN,Department of Gurmat Gyan Online Study Centre,TEACHING_DEPT,FACULTY-ARTS-CULTURE,,,
DEPARTMENT-MUSIC,Department of Music,TEACHING_DEPT,FACULTY-ARTS-CULTURE,,,
DEPARTMENT-THEATRE-FILM-PROD,Department of Theatre and Film Production,TEACHING_DEPT,FACULTY-ARTS-CULTURE,,,
S-SOBHA-SINGH-DEPARTMENT,S. Sobha Singh Department of Fine Arts,TEACHING_DEPT,FACULTY-ARTS-CULTURE,,,
DEPARTMENT-COMMERCE,Department of Commerce,TEACHING_DEPT,FACULTY-BUSINESS-STUDIES,,,
DEPARTMENT-TOURISM-HOSPITALI,"Department of Tourism, Hospitality and Hotel Management",TEACHING_DEPT,FACULTY-BUSINESS-STUDIES,,,
SCHOOL-MANAGEMENT-STUDIES,School of Management Studies,TEACHING_DEPT,FACULTY-BUSINESS-STUDIES,,,
UNIVERSITY-SCHOOL-APPLIED-MA,University School of Applied Management,TEACHING_DEPT,FACULTY-BUSINESS-STUDIES,,,
UNIVERSITY-SCHOOL-BUSINESS-S,"University School of Business Studies, Guru Kashi Campus, Talwandi Sabo",TEACHING_DEPT,FACULTY-BUSINESS-STUDIES,,,
DEPARTMENT-COMPUTER-SCIENCE,Department of Computer Science,TEACHING_DEPT,FACULTY-COMPUTING-SCIENCES,,,
CENTRE-ADVANCED-MEDIA-STUDIE,Centre for Advanced Media Studies,TEACHING_DEPT,FACULTY-EDUCATION-INFORMATIO,,,
DEPARTMENT-EDUCATION-COMMUNI,Department of Education and Community Service,TEACHING_DEPT,FACULTY-EDUCATION-INFORMATIO,,,
DEPARTMENT-JOURNALISM-MASS-C,Department of Journalism and Mass Communication,TEACHING_DEPT,FACULTY-EDUCATION-INFORMATIO,,,
DEPARTMENT-LIBRARY-INFORMATI,Department of Library and Information Science,TEACHING_DEPT,FACULTY-EDUCATION-INFORMATIO,,,
DEPARTMENT-PHYSICAL-EDUCATIO,Department of Physical Education,TEACHING_DEPT,FACULTY-EDUCATION-INFORMATIO,,,
DEPARTMENT-CIVIL-ENGINEERING,Department of Civil Engineering,TEACHING_DEPT,FACULTY-ENGINEERING-TECHNOLO,,,
DEPARTMENT-COMPUTER-SCIENCE-,Department of Computer Science and Engineering,TEACHING_DEPT,FACULTY-ENGINEERING-TECHNOLO,,,
DEPARTMENT-ELECTRONICS-COMMU,Department of Electronics & Communication Engineering,TEACHING_DEPT,FACULTY-ENGINEERING-TECHNOLO,,,
DEPARTMENT-MECHANICAL-ENGINE,Department of Mechanical Engineering,TEACHING_DEPT,FACULTY-ENGINEERING-TECHNOLO,,,
YADAVINDRA-DEPARTMENT-ENGINE,"Yadavindra Department of Engineering, Talwandi Sabo",TEACHING_DEPT,FACULTY-ENGINEERING-TECHNOLO,,,
DEPARTMENT-ENGLISH,Department of English,TEACHING_DEPT,FACULTY-LANGUAGES,,,
DEPARTMENT-FOREIGN-LANGUAGES,Department of Foreign Languages,TEACHING_DEPT,FACULTY-LANGUAGES,,,
DEPARTMENT-HINDI,Department of Hindi,TEACHING_DEPT,FACULTY-LANGUAGES,,,
DEPARTMENT-LINGUISTICS-PUNJA,Department of Linguistics and Punjabi Lexicography,TEACHING_DEPT,FACULTY-LANGUAGES,,,
DEPARTMENT-PERSIAN-URDU-ARAB,"Department of Persian, Urdu and Arabic",TEACHING_DEPT,FACULTY-LANGUAGES,,,
DEPARTMENT-PUNJABI,Department of Punjabi,TEACHING_DEPT,FACULTY-LANGUAGES,,,
DEPARTMENT-SANSKRIT-PALI,Department of Sanskrit and Pali,TEACHING_DEPT,FACULTY-LANGUAGES,,,
DEPARTMENT-LAW-PUNJABI-UNIVE,"Department of Law, Punjabi University, Patiala",TEACHING_DEPT,FACULTY-LAWS,,,
PUNJAB-SCHOOL-LAW,Punjab School of Law,TEACHING_DEPT,FACULTY-LAWS,,,
DEPARTMENT-BIOTECHNOLOGY-FOO,Department of Biotechnology & Food Technology,TEACHING_DEPT,FACULTY-LIFE-SCIENCES,,,
DEPARTMENT-BOTANY,Department of Botany,TEACHING_DEPT,FACULTY-LIFE-SCIENCES,,,
DEPARTMENT-HUMAN-GENETICS,Department of Human Genetics,TEACHING_DEPT,FACULTY-LIFE-SCIENCES,,,
DEPARTMENT-ZOOLOGY-ENVIRONME,Department of Zoology and Environmental Sciences,TEACHING_DEPT,FACULTY-LIFE-SCIENCES,,,
DEPARTMENT-PHARMACEUTICAL-SC,Department of Pharmaceutical Sciences and Drug Research,TEACHING_DEPT,FACULTY-MEDICINE,,,
DEPARTMENT-PHYSIOTHERAPY,Department of Physiotherapy,TEACHING_DEPT,FACULTY-MEDICINE,,,
DEPARTMENT-SPORTS-SCIENCE,Department of Sports Science,TEACHING_DEPT,FACULTY-MEDICINE,,,
DEPARTMENT-CHEMISTRY,Department of Chemistry,TEACHING_DEPT,FACULTY-PHYSICAL-SCIENCES,,,
DEPARTMENT-FORENSIC-SCIENCE,Department of Forensic Science,TEACHING_DEPT,FACULTY-PHYSICAL-SCIENCES,,,
DEPARTMENT-GEOGRAPHY,Department of Geography,TEACHING_DEPT,FACULTY-PHYSICAL-SCIENCES,,,
DEPARTMENT-MATHEMATICS,Department of Mathematics,TEACHING_DEPT,FACULTY-PHYSICAL-SCIENCES,,,
DEPARTMENT-PHYSICS,Department of Physics,TEACHING_DEPT,FACULTY-PHYSICAL-SCIENCES,,,
DEPARTMENT-STATISTICS,Department of Statistics,TEACHING_DEPT,FACULTY-PHYSICAL-SCIENCES,,,
DEPARTMENT-DEFENCE-STRATEGIC,Department of Defence and Strategic Studies,TEACHING_DEPT,FACULTY-SOCIAL-SCIENCES,,,
DEPARTMENT-ECONOMICS,Department of Economics,TEACHING_DEPT,FACULTY-SOCIAL-SCIENCES,,,
DEPARTMENT-HISTORY-PUNJAB-HI,Department of History and Punjab Historical Studies,TEACHING_DEPT,FACULTY-SOCIAL-SCIENCES,,,
DEPARTMENT-PHILOSOPHY,Department of Philosophy,TEACHING_DEPT,FACULTY-SOCIAL-SCIENCES,,,
DEPARTMENT-POLITICAL-SCIENCE,Department of Political Science,TEACHING_DEPT,FACULTY-SOCIAL-SCIENCES,,,
DEPARTMENT-PSYCHOLOGY,Department of Psychology,TEACHING_DEPT,FACULTY-SOCIAL-SCIENCES,,,
DEPARTMENT-PUBLIC-ADMINISTRA,Department of Public Administration,TEACHING_DEPT,FACULTY-SOCIAL-SCIENCES,,,
DEPARTMENT-RELIGIOUS-STUDIES,Department of Religious Studies,TEACHING_DEPT,FACULTY-SOCIAL-SCIENCES,,,
DEPARTMENT-SOCIAL-WORK,Department of Social Work,TEACHING_DEPT,FACULTY-SOCIAL-SCIENCES,,,
DEPARTMENT-SOCIOLOGY-SOCIAL-,Department of Sociology and Social Anthropology,TEACHING_DEPT,FACULTY-SOCIAL-SCIENCES,,,
WOMENS-STUDIES-CENTRE,Women's Studies Centre,TEACHING_DEPT,FACULTY-SOCIAL-SCIENCES,,,
SCHOOL-SOCIAL-SCIENCES,School of Social Sciences,TEACHING_DEPT,FACULTY-SOCIAL-SCIENCES,,,
CENTRE-RESTORATION-ECOSYSTEM,Centre for Restoration of Ecosystem of Punjab (CRESP),RESEARCH_CENTRE,OFFICE-VICECHANCELLOR,,,
CENTRE-CENSUS-STUDIES-RESEAR,Centre for Census Studies and Research,RESEARCH_CENTRE,OFFICE-VICECHANCELLOR,,,
BABA-FARID-CENTRE-SUFI,Baba Farid Centre for Sufi Studies,RESEARCH_CENTRE,OFFICE-VICECHANCELLOR,,,
CENTRE-DIASPORA-STUDIES,Centre for Diaspora Studies,RESEARCH_CENTRE,OFFICE-VICECHANCELLOR,,,
CENTRE-DEVELOPMENT-ECONOMICS,Centre for Development Economics and Innovation Studies (CDEIS),RESEARCH_CENTRE,OFFICE-VICECHANCELLOR,,,
DEPARTMENT-SRI-GURU-GRANTH,Department of Sri Guru Granth Sahib Studies,RESEARCH_CENTRE,OFFICE-VICECHANCELLOR,,,
DEPARTMENT-PUNJABI-DEVELOPME,Department of Punjabi Development Language,RESEARCH_CENTRE,OFFICE-VICECHANCELLOR,,,
INSTITUTE-ADVANCED-STUDIES-C,"Institute of Advanced Studies in Comparative Religion (Dr. Balbir Singh Kendra), Dehradun",RESEARCH_CENTRE,OFFICE-VICECHANCELLOR,,,
PUNJABIPEDIA-CENTRE,Punjabipedia Centre,RESEARCH_CENTRE,OFFICE-VICECHANCELLOR,,,
PUNJABI-LITERARY-STUDIES,Punjabi Literary Studies,RESEARCH_CENTRE,OFFICE-VICECHANCELLOR,,,
RESEARCH-CENTRE-TECHNICAL-DE,"Research Centre for Technical Development of Punjabi Language, Literature and Culture",RESEARCH_CENTRE,OFFICE-VICECHANCELLOR,,,
PROF-HARBANS-SINGH-ENCYCLOPA,Prof. Harbans Singh Encyclopaedia of Sikhism,RESEARCH_CENTRE,OFFICE-VICECHANCELLOR,,,
IAS-TRAINING-CENTRE,IAS Training Centre,RESEARCH_CENTRE,OFFICE-VICECHANCELLOR,,,
UGC-MALAVIYA-MISSION-TEACHER,UGC - Malaviya Mission Teacher Training Centre,RESEARCH_CENTRE,OFFICE-VICECHANCELLOR,,,
NAWAB-SHER-MOHAMMAD-KHAN,"Nawab Sher Mohammad Khan Institute of Advanced Studies in Urdu, Persian and Arabic, Malerkotla",REGIONAL_CENTRE,OFFICE-VICECHANCELLOR,,,
PUNJABI-UNIVERSITY-CENTRE-EM,"Punjabi University Centre for Emerging and Innovative Technology, Mohali",REGIONAL_CENTRE,OFFICE-VICECHANCELLOR,,,
PUNJABI-UNIVERSITY-REGIONAL-,"Punjabi University Regional Centre, Bathinda",REGIONAL_CENTRE,OFFICE-VICECHANCELLOR,,,
DEPARTMENT-EDUCATION-REGIONA,"Department of Education, Regional Centre Bathinda",TEACHING_DEPT,PUNJABI-UNIVERSITY-REGIONAL-,,,
DEPARTMENT-LAW-REGIONAL-CENT,"Department of Law, Regional Centre Bathinda",TEACHING_DEPT,PUNJABI-UNIVERSITY-REGIONAL-,,,
DEPARTMENT-POSTGRADUATE-STUD,"Department of Postgraduate Studies, Regional Centre Bathinda",TEACHING_DEPT,PUNJABI-UNIVERSITY-REGIONAL-,,,
PUNJABI-UNIVERSITY-GURU-KASH,"Punjabi University Guru Kashi Campus, Talwandi Sabo (Damdama Sahib)",REGIONAL_CENTRE,OFFICE-VICECHANCELLOR,,,
